[DEBUG] 2020-12-15 23:59:11.054 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-12-15 23:59:11.058 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-12-15 23:59:11.061 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-12-15 23:59:11.108 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-12-15 23:59:11.109 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-12-15 23:59:11.251 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-12-15 23:59:11.252 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-12-15 23:59:11.259 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-12-15 23:59:11.436 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-12-15 23:59:11.451 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-12-15 23:59:11.451 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-12-15 23:59:11.463 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-12-15 23:59:11.482 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7e00ed0f
[DEBUG] 2020-12-15 23:59:11.482 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7e00ed0f
[DEBUG] 2020-12-15 23:59:11.482 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@7e00ed0f
[DEBUG] 2020-12-15 23:59:11.483 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@1b4ae4e0
[DEBUG] 2020-12-15 23:59:11.483 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@2954b5ea
[DEBUG] 2020-12-15 23:59:11.484 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@3baf6936
[DEBUG] 2020-12-15 23:59:11.484 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@36fc05ff
[DEBUG] 2020-12-15 23:59:11.484 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@36fc05ff
[DEBUG] 2020-12-15 23:59:11.484 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@36fc05ff
[DEBUG] 2020-12-15 23:59:11.485 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@21ac5eb4
