[DEBUG] 2020-12-16 16:24:32.445 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-12-16 16:24:32.453 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-12-16 16:24:32.460 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-12-16 16:24:32.564 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-12-16 16:24:32.567 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-12-16 16:24:32.883 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-12-16 16:24:32.884 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-12-16 16:24:32.891 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-12-16 16:24:33.176 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-12-16 16:24:33.194 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-12-16 16:24:33.195 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-12-16 16:24:33.215 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-12-16 16:24:33.255 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@350a94ce
[DEBUG] 2020-12-16 16:24:33.256 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@350a94ce
[DEBUG] 2020-12-16 16:24:33.256 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@350a94ce
[DEBUG] 2020-12-16 16:24:33.256 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@62db0521
[DEBUG] 2020-12-16 16:24:33.256 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@65753040
[DEBUG] 2020-12-16 16:24:33.257 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@37d871c2
[DEBUG] 2020-12-16 16:24:33.258 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4eed2acf
[DEBUG] 2020-12-16 16:24:33.258 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4eed2acf
[DEBUG] 2020-12-16 16:24:33.258 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@4eed2acf
[DEBUG] 2020-12-16 16:24:33.259 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@2d9f64c9
[DEBUG] 2020-12-16 16:24:33.259 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@2d9f64c9
[DEBUG] 2020-12-16 16:24:33.259 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@2d9f64c9
[DEBUG] 2020-12-16 16:24:33.260 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@1abfe081
[DEBUG] 2020-12-16 16:24:33.260 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@1abfe081
[DEBUG] 2020-12-16 16:24:33.260 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@1abfe081
[DEBUG] 2020-12-16 16:24:33.261 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@acdcf71
[DEBUG] 2020-12-16 16:24:33.261 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@acdcf71
[DEBUG] 2020-12-16 16:24:33.261 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@acdcf71
[DEBUG] 2020-12-16 16:24:33.261 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@cbc8d0f
[DEBUG] 2020-12-16 16:24:33.262 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@cbc8d0f
[DEBUG] 2020-12-16 16:24:33.262 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@cbc8d0f
[DEBUG] 2020-12-16 16:24:33.262 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@17b6d426
[DEBUG] 2020-12-16 16:24:33.262 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@17b6d426
[DEBUG] 2020-12-16 16:24:33.262 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@17b6d426
[DEBUG] 2020-12-16 16:24:33.263 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@20e3c449
[DEBUG] 2020-12-16 16:24:33.263 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@20e3c449
[DEBUG] 2020-12-16 16:24:33.263 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@20e3c449
[DEBUG] 2020-12-16 16:24:33.264 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@7b7683d4
[DEBUG] 2020-12-16 16:24:33.264 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@7b7683d4
[DEBUG] 2020-12-16 16:24:33.265 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@6137cf6e
[DEBUG] 2020-12-16 16:24:33.265 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@6137cf6e
[DEBUG] 2020-12-16 16:24:33.265 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@24934262
[DEBUG] 2020-12-16 16:24:33.265 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@24934262
[DEBUG] 2020-12-16 16:24:33.266 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@28501a4b
[DEBUG] 2020-12-16 16:24:33.266 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@2bebb74f
[DEBUG] 2020-12-16 16:24:33.267 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@3f9f71ff
[DEBUG] 2020-12-16 16:24:33.267 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@3f9f71ff
[DEBUG] 2020-12-16 16:24:33.268 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@ad3324b
