[DEBUG] 2020-12-15 16:02:34.015 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-12-15 16:02:34.019 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-12-15 16:02:34.021 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-12-15 16:02:34.072 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-12-15 16:02:34.074 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-12-15 16:02:34.180 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-12-15 16:02:34.182 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-12-15 16:02:34.187 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-12-15 16:02:34.361 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-12-15 16:02:34.372 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-12-15 16:02:34.373 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-12-15 16:02:34.383 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-12-15 16:02:34.399 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2459319c
[DEBUG] 2020-12-15 16:02:34.399 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2459319c
[DEBUG] 2020-12-15 16:02:34.399 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@2459319c
[DEBUG] 2020-12-15 16:02:34.399 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@33d53216
[DEBUG] 2020-12-15 16:02:34.400 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@62d73ead
[DEBUG] 2020-12-15 16:02:34.400 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@46731692
[DEBUG] 2020-12-15 16:02:34.401 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@10895b16
[DEBUG] 2020-12-15 16:02:34.401 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@10895b16
[DEBUG] 2020-12-15 16:02:34.401 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@10895b16
[DEBUG] 2020-12-15 16:02:34.401 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@3b9632d1
[DEBUG] 2020-12-15 16:02:34.401 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@3b9632d1
[DEBUG] 2020-12-15 16:02:34.401 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@3b9632d1
[DEBUG] 2020-12-15 16:02:34.402 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@1846579f
[DEBUG] 2020-12-15 16:02:34.402 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@1846579f
[DEBUG] 2020-12-15 16:02:34.402 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@1846579f
[DEBUG] 2020-12-15 16:02:34.403 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@7be7e15
[DEBUG] 2020-12-15 16:02:34.403 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@7be7e15
[DEBUG] 2020-12-15 16:02:34.403 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@7be7e15
[DEBUG] 2020-12-15 16:02:34.403 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2330e3e0
[DEBUG] 2020-12-15 16:02:34.403 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2330e3e0
[DEBUG] 2020-12-15 16:02:34.403 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@2330e3e0
[DEBUG] 2020-12-15 16:02:34.404 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@3f9270ed
[DEBUG] 2020-12-15 16:02:34.404 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@3f9270ed
[DEBUG] 2020-12-15 16:02:34.404 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@3f9270ed
[DEBUG] 2020-12-15 16:02:34.405 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@53a665ad
[DEBUG] 2020-12-15 16:02:34.405 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@53a665ad
[DEBUG] 2020-12-15 16:02:34.405 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@53a665ad
[DEBUG] 2020-12-15 16:02:34.405 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@abff8b7
[DEBUG] 2020-12-15 16:02:34.405 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@abff8b7
[DEBUG] 2020-12-15 16:02:34.406 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@1b4ae4e0
[DEBUG] 2020-12-15 16:02:34.406 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@1b4ae4e0
[DEBUG] 2020-12-15 16:02:34.406 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@37d871c2
[DEBUG] 2020-12-15 16:02:34.406 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@37d871c2
[DEBUG] 2020-12-15 16:02:34.407 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@3ab6678b
[DEBUG] 2020-12-15 16:02:34.407 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@4eed2acf
[DEBUG] 2020-12-15 16:02:34.407 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@2d9f64c9
[DEBUG] 2020-12-15 16:02:34.407 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@2d9f64c9
[DEBUG] 2020-12-15 16:02:34.408 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@1abfe081
[DEBUG] 2020-12-15 16:02:34.408 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@1abfe081
[DEBUG] 2020-12-15 16:02:34.411 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@6bda1d19
[DEBUG] 2020-12-15 16:02:34.411 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@6bda1d19
[DEBUG] 2020-12-15 16:02:34.412 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@6794ac0b
[DEBUG] 2020-12-15 16:02:34.412 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@6794ac0b
[DEBUG] 2020-12-15 16:02:34.413 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@46a953cf
[DEBUG] 2020-12-15 16:02:34.413 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@46a953cf
[DEBUG] 2020-12-15 16:02:34.413 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@680a66dd
[DEBUG] 2020-12-15 16:02:34.413 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@680a66dd
[DEBUG] 2020-12-15 16:02:34.414 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@76ddd61a
[DEBUG] 2020-12-15 16:02:34.414 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@76ddd61a
[DEBUG] 2020-12-15 16:02:34.415 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@33a3c44a
[DEBUG] 2020-12-15 16:02:34.415 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@33a3c44a
[DEBUG] 2020-12-15 16:02:34.416 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@28501a4b
[DEBUG] 2020-12-15 16:02:34.416 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@28501a4b
[DEBUG] 2020-12-15 16:02:34.417 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@3f9f71ff
[DEBUG] 2020-12-15 16:02:34.417 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@3f9f71ff
[DEBUG] 2020-12-15 16:02:34.417 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@3872bc37
[DEBUG] 2020-12-15 16:02:34.417 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@3872bc37
[DEBUG] 2020-12-15 16:02:34.418 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@11b455e5
[DEBUG] 2020-12-15 16:02:34.418 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@11b455e5
[DEBUG] 2020-12-15 16:02:34.418 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@11b455e5
[DEBUG] 2020-12-15 16:02:34.419 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@6d025d1d
[DEBUG] 2020-12-15 16:02:34.419 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@e8ea697
[DEBUG] 2020-12-15 16:02:34.419 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@e8ea697
[DEBUG] 2020-12-15 16:02:34.419 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@e8ea697
[DEBUG] 2020-12-15 16:02:34.420 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@6c42f2a1
[DEBUG] 2020-12-15 16:02:34.420 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@4867ab9f
[DEBUG] 2020-12-15 16:02:34.420 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@4867ab9f
[DEBUG] 2020-12-15 16:02:34.421 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@46c3a14d
[DEBUG] 2020-12-15 16:02:34.421 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@46c3a14d
[DEBUG] 2020-12-15 16:02:34.421 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@1de0a46c
[DEBUG] 2020-12-15 16:02:34.421 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@1de0a46c
[DEBUG] 2020-12-15 16:02:34.422 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@25cd49a4
[DEBUG] 2020-12-15 16:02:34.422 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@25cd49a4
[DEBUG] 2020-12-15 16:02:34.422 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@43b40233
[DEBUG] 2020-12-15 16:02:34.422 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@43b40233
[DEBUG] 2020-12-15 16:02:34.423 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@2184b4f4
[DEBUG] 2020-12-15 16:02:34.423 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@5633dafd
[DEBUG] 2020-12-15 16:02:34.423 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@5633dafd
[DEBUG] 2020-12-15 16:02:34.423 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@5633dafd
[DEBUG] 2020-12-15 16:02:34.424 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@408e96d9
[DEBUG] 2020-12-15 16:02:34.424 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@408e96d9
[DEBUG] 2020-12-15 16:02:34.424 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@408e96d9
[DEBUG] 2020-12-15 16:02:34.424 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@71ad3d8a
[DEBUG] 2020-12-15 16:02:34.425 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@13da7ab0
[DEBUG] 2020-12-15 16:02:34.425 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@238bfd6c
[DEBUG] 2020-12-15 16:02:34.425 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@238bfd6c
[DEBUG] 2020-12-15 16:02:34.426 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@238bfd6c
[DEBUG] 2020-12-15 16:02:34.426 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@4b3fe06e
[DEBUG] 2020-12-15 16:02:34.426 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@4b3fe06e
[DEBUG] 2020-12-15 16:02:34.426 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@4b3fe06e
[DEBUG] 2020-12-15 16:02:34.427 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@4d8286c4
[DEBUG] 2020-12-15 16:02:34.427 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@6778aea6
[DEBUG] 2020-12-15 16:02:34.428 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@53a9fcfd
[DEBUG] 2020-12-15 16:02:34.428 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@53a9fcfd
[DEBUG] 2020-12-15 16:02:34.428 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@84487f4
[DEBUG] 2020-12-15 16:02:34.429 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@6d303498
[DEBUG] 2020-12-15 16:02:34.429 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@6d303498
[DEBUG] 2020-12-15 16:02:34.429 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@79d9214d
[DEBUG] 2020-12-15 16:02:34.430 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@79d9214d
