[DEBUG] 2020-12-15 17:08:05.444 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-12-15 17:08:05.448 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-12-15 17:08:05.451 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-12-15 17:08:05.492 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-12-15 17:08:05.495 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-12-15 17:08:05.603 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-12-15 17:08:05.603 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-12-15 17:08:05.608 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-12-15 17:08:05.748 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-12-15 17:08:05.760 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-12-15 17:08:05.761 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-12-15 17:08:05.771 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-12-15 17:08:05.786 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2459319c
[DEBUG] 2020-12-15 17:08:05.786 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@2459319c
[DEBUG] 2020-12-15 17:08:05.787 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@2459319c
[DEBUG] 2020-12-15 17:08:05.787 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@33d53216
[DEBUG] 2020-12-15 17:08:05.787 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@62d73ead
[DEBUG] 2020-12-15 17:08:05.787 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@46731692
[DEBUG] 2020-12-15 17:08:05.788 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@10895b16
[DEBUG] 2020-12-15 17:08:05.788 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@10895b16
[DEBUG] 2020-12-15 17:08:05.788 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@10895b16
[DEBUG] 2020-12-15 17:08:05.789 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@3b9632d1
[DEBUG] 2020-12-15 17:08:05.789 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@3b9632d1
[DEBUG] 2020-12-15 17:08:05.789 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@3b9632d1
[DEBUG] 2020-12-15 17:08:05.789 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@1846579f
[DEBUG] 2020-12-15 17:08:05.789 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@1846579f
[DEBUG] 2020-12-15 17:08:05.790 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@1846579f
[DEBUG] 2020-12-15 17:08:05.790 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@7be7e15
