[DEBUG] 2020-12-09 06:12:31.819 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-12-09 06:12:31.822 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-12-09 06:12:31.825 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-12-09 06:12:31.868 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-12-09 06:12:31.869 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-12-09 06:12:31.989 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-12-09 06:12:31.989 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-12-09 06:12:31.992 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-12-09 06:12:32.144 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-12-09 06:12:32.158 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-12-09 06:12:32.159 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-12-09 06:12:32.172 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-12-09 06:12:32.189 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@173797f0
[DEBUG] 2020-12-09 06:12:32.189 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@173797f0
[DEBUG] 2020-12-09 06:12:32.189 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@173797f0
[DEBUG] 2020-12-09 06:12:32.189 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@ffaaaf0
[DEBUG] 2020-12-09 06:12:32.190 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@69a2b3b6
[DEBUG] 2020-12-09 06:12:32.190 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@1e141e42
[DEBUG] 2020-12-09 06:12:32.191 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@ad9e63e
[DEBUG] 2020-12-09 06:12:32.191 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@ad9e63e
[DEBUG] 2020-12-09 06:12:32.191 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@ad9e63e
[DEBUG] 2020-12-09 06:12:32.191 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@149c3204
