[DEBUG] 2020-12-09 04:01:18.598 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-12-09 04:01:18.609 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-12-09 04:01:18.618 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-12-09 04:01:18.702 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-12-09 04:01:18.711 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-12-09 04:01:18.848 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-12-09 04:01:18.849 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-12-09 04:01:18.852 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-12-09 04:01:19.035 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-12-09 04:01:19.050 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-12-09 04:01:19.051 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-12-09 04:01:19.064 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-12-09 04:01:19.086 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@36ddaebf
[DEBUG] 2020-12-09 04:01:19.086 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@36ddaebf
[DEBUG] 2020-12-09 04:01:19.086 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@36ddaebf
[DEBUG] 2020-12-09 04:01:19.087 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@3cff0139
[DEBUG] 2020-12-09 04:01:19.088 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@f096f37
[DEBUG] 2020-12-09 04:01:19.088 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@514cd540
[DEBUG] 2020-12-09 04:01:19.089 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3ec2ecea
[DEBUG] 2020-12-09 04:01:19.089 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3ec2ecea
[DEBUG] 2020-12-09 04:01:19.089 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@3ec2ecea
[DEBUG] 2020-12-09 04:01:19.089 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@338cc75f
